published_utc,run_date,comp,fixture_id,kickoff_utc,home,away,scoreline,home_goals,away_goals,p,p_covered
2026-09-18T07:15:29Z,2026-09-18,women,1573584,2026-09-18T18:00:00Z,Deportivo Alavés W,Barcelona W,0-1,0,1,0.2507,0.6405
2026-09-18T07:15:29Z,2026-09-18,women,1573584,2026-09-18T18:00:00Z,Deportivo Alavés W,Barcelona W,0-2,0,2,0.1237,0.6405
2026-09-18T07:15:29Z,2026-09-18,women,1580933,2026-09-18T17:00:00Z,Le Havre W,Lyon W,0-3,0,3,0.1184,0.3389
2026-09-18T07:15:29Z,2026-09-18,women,1580933,2026-09-18T17:00:00Z,Le Havre W,Lyon W,0-4,0,4,0.1182,0.3389
2026-09-18T07:15:29Z,2026-09-18,women,1580933,2026-09-18T17:00:00Z,Le Havre W,Lyon W,0-5,0,5,0.1023,0.3389
2026-09-18T07:15:29Z,2026-09-18,women,1495561,2026-09-18T17:00:00Z,Malmö FF W,Djurgården W,2-0,2,0,0.1181,0.3215
2026-09-18T07:15:29Z,2026-09-18,women,1495561,2026-09-18T17:00:00Z,Malmö FF W,Djurgården W,1-0,1,0,0.1180,0.3215
2026-09-18T07:15:29Z,2026-09-18,women,1495561,2026-09-18T17:00:00Z,Malmö FF W,Djurgården W,3-0,3,0,0.0854,0.3215
2026-09-18T07:15:29Z,2026-09-18,women,1580936,2026-09-18T17:00:00Z,Strasbourg W,Paris FC W,0-2,0,2,0.1204,0.3288
2026-09-18T07:15:29Z,2026-09-18,women,1580936,2026-09-18T17:00:00Z,Strasbourg W,Paris FC W,0-1,0,1,0.1193,0.3288
2026-09-18T07:15:29Z,2026-09-18,women,1580936,2026-09-18T17:00:00Z,Strasbourg W,Paris FC W,0-3,0,3,0.0891,0.3288
